,SEQN,Spending_on_nonfood,Spending_on_eating_out,Spending_on_carryout_deliverred,Spending_on_food
4266,66427.0,1.349401336733507e-81,0.5,1.349401336733507e-81,0.5
4267,66428.0,0.06060606060606061,0.12121212121212122,0.36363636363636365,0.4545454545454546
4268,66429.0,4.4980044557783565e-81,4.4980044557783565e-81,4.4980044557783565e-81,1.0
4269,66430.0,8.996008911556714e-82,8.996008911556714e-82,8.996008911556714e-82,1.0
4270,66431.0,0.09375,0.046875,4.2168791772922095e-82,0.859375
4271,66432.0,1.255257057426518e-81,0.06976744186046512,1.255257057426518e-81,0.9302325581395349
4272,66433.0,5.397605346934028e-82,0.1,5.397605346934028e-82,0.9
4273,66434.0,4.906913951758207e-82,0.18181818181818182,0.2727272727272727,0.5454545454545454
4274,66435.0,8.128923715262091e-82,0.07530120481927711,8.128923715262091e-82,0.924698795180723
4275,66436.0,1.0795210693868056e-81,0.2,1.0795210693868056e-81,0.8
4276,66437.0,9.071605625099207e-82,0.12605042016806722,0.03361344537815126,0.8403361344537815
4277,66438.0,7.102112298597405e-82,0.07894736842105263,7.102112298597405e-82,0.9210526315789473
4278,66439.0,0.16040100250626566,0.02506265664160401,6.763916474854671e-82,0.8145363408521302
4279,66440.0,7.710864781334326e-82,0.14285714285714285,7.710864781334326e-82,0.8571428571428572
4280,66441.0,6.747006683667535e-82,6.747006683667535e-82,6.747006683667535e-82,1.0
4281,66442.0,5.044490978443017e-82,0.2,5.044490978443017e-82,0.8
4282,66443.0,1.0583539895949074e-81,0.058823529411764705,0.058823529411764705,0.8823529411764706
4283,66444.0,1.5247472731452056e-81,0.6045197740112994,0.05649717514124294,0.3389830508474576
4284,66445.0,5.553091920714021e-82,0.030864197530864196,5.553091920714021e-82,0.9691358024691358
4285,66446.0,0.07246376811594203,0.028985507246376812,0.028985507246376812,0.8695652173913043
4286,66447.0,0.1276595744680851,0.10638297872340426,1.1484266695604315e-81,0.7659574468085106
4287,66448.0,1.1245011139445891e-81,0.16666666666666666,1.1245011139445891e-81,0.8333333333333334
4288,66449.0,7.009877073940296e-82,0.5558441558441558,0.05454545454545454,0.38961038961038963
4289,66450.0,0.11290322580645161,0.0967741935483871,0.03225806451612903,0.7580645161290323
4290,66451.0,4.7851111231684643e-82,0.3546099290780142,4.7851111231684643e-82,0.6453900709219857
4291,66452.0,6.721799933915352e-82,0.0136986301369863,6.721799933915352e-82,0.9863013698630138
4292,66453.0,2.698130838888131e-85,0.4998750311172518,0.4998750311172518,0.0002499377654963914
4293,66454.0,0.07872078720787208,0.3948339483394834,3.319560483969267e-82,0.5264452644526445
4294,66455.0,9.813827903516414e-82,0.2727272727272727,9.813827903516414e-82,0.7272727272727273
4295,66456.0,6.3501239375694445e-81,0.29411764705882354,6.3501239375694445e-81,0.7058823529411765
4296,66457.0,1.741163015140009e-81,0.1935483870967742,0.16129032258064516,0.6451612903225806
4297,66458.0,0.23148148148148148,0.05092592592592592,0.023148148148148147,0.6944444444444444
4298,66459.0,1.0088981956886034e-81,0.2,1.0088981956886034e-81,0.8
4299,66460.0,0.038461538461538464,0.38461538461538464,5.1900051412827194e-82,0.5769230769230769
4300,66461.0,0.125,0.1875,0.0625,0.625
4301,66462.0,1.0521647849773933e-81,0.4171539961013645,0.16569200779727095,0.4171539961013645
4302,66463.0,,,,
4303,66464.0,9.813827903516414e-82,0.09090909090909091,9.813827903516414e-82,0.9090909090909091
4304,66465.0,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.5263157894736842
4305,66466.0,0.23620309050772628,5.957621795732923e-82,5.957621795732923e-82,0.7637969094922736
4306,66467.0,1.0709534418519896e-81,0.20238095238095238,1.0709534418519896e-81,0.7976190476190477
4307,66468.0,7.822616444831925e-82,0.11594202898550725,0.057971014492753624,0.8260869565217391
4308,66469.0,0.03225806451612903,6.964652060560036e-82,6.964652060560036e-82,0.967741935483871
4309,66470.0,0.25,6.747006683667535e-82,6.747006683667535e-82,0.75
4310,66471.0,0.058823529411764705,0.29411764705882354,0.058823529411764705,0.5882352941176471
4311,66472.0,2.5702882604447752e-82,0.3333333333333333,0.14285714285714285,0.5238095238095238
4312,66473.0,0.16216216216216217,0.10810810810810811,0.16216216216216217,0.5675675675675675
4313,66474.0,0.10666666666666667,0.13333333333333333,0.09333333333333334,0.6666666666666666
4314,66475.0,5.997339274371142e-82,0.2222222222222222,5.997339274371142e-82,0.7777777777777778
4315,66476.0,0.03225806451612903,0.4838709677419355,1.741163015140009e-81,0.4838709677419355
4316,66477.0,0.5,3.469892621493068e-85,3.469892621493068e-85,0.5
4317,66478.0,4.906913951758207e-82,0.18181818181818182,4.906913951758207e-82,0.8181818181818181
4318,66479.0,1.349401336733507e-81,0.125,1.349401336733507e-81,0.875
4319,66480.0,0.06552006552006552,0.12285012285012285,4.420643199782169e-82,0.8116298116298116
4320,66481.0,8.056127383483624e-82,8.056127383483624e-82,8.056127383483624e-82,1.0
4321,66482.0,7.710864781334326e-82,0.14285714285714285,7.710864781334326e-82,0.8571428571428571
4322,66483.0,1.1459883963766513e-81,0.3630573248407643,1.1459883963766513e-81,0.6369426751592356
4323,66484.0,1.2267284879395517e-81,0.09090909090909091,1.2267284879395517e-81,0.9090909090909091
4324,66485.0,3.482326030280018e-82,0.3225806451612903,0.03225806451612903,0.6451612903225806
4325,66486.0,0.17857142857142858,0.17857142857142858,0.047619047619047616,0.5952380952380952
4326,66487.0,0.13617021276595745,0.18085106382978725,0.13617021276595745,0.5468085106382978
4327,66488.0,4.197418587568645e-05,0.9993843786071566,5.39428785990019e-85,0.0005736472069677148
4328,66489.0,1.349401336733507e-81,0.125,1.349401336733507e-81,0.875
4329,66490.0,7.710864781334326e-82,0.21428571428571427,7.710864781334326e-82,0.7857142857142857
4330,66491.0,0.1724137931034483,0.08620689655172414,0.05172413793103448,0.6896551724137931
4331,66492.0,0.1188118811881188,5.344163709835671e-82,0.0891089108910891,0.7920792079207921
4332,66493.0,7.064928464573335e-82,0.2617801047120419,7.064928464573335e-82,0.7382198952879582
4333,66494.0,0.043478260869565216,0.08695652173913043,2.3467849334495774e-81,0.8695652173913043
4334,66495.0,7.274400737107855e-82,0.1347708894878706,7.274400737107855e-82,0.8652291105121294
4335,66496.0,2.044547479899253e-81,2.044547479899253e-81,0.003787878787878788,0.9962121212121212
4336,66497.0,8.304008226052351e-82,0.09230769230769231,0.06153846153846154,0.8461538461538463
4337,66498.0,0.03225806451612903,0.16129032258064516,8.705815075700045e-82,0.8064516129032258
4338,66499.0,2.116707979189815e-81,0.5882352941176471,0.39215686274509803,0.0196078431372549
4339,66500.0,0.10638297872340426,0.10638297872340426,0.0425531914893617,0.7446808510638299
4340,66501.0,1.1733924667247887e-81,0.10869565217391304,0.13043478260869565,0.7608695652173914
4341,66502.0,2.203104223238379e-81,0.12244897959183673,0.061224489795918366,0.8163265306122449
4342,66503.0,0.05263157894736842,0.15789473684210525,0.07894736842105263,0.7105263157894737
4343,66504.0,0.13391739674593242,0.0625782227784731,3.3777254987071515e-82,0.8035043804755945
4344,66505.0,1.1363379677755848e-81,0.3157894736842105,1.1363379677755848e-81,0.6842105263157895
4345,66506.0,1.2211776803018164e-81,1.2211776803018164e-81,1.2211776803018164e-81,1.0
4346,66507.0,0.04597701149425287,0.034482758620689655,1.2408288153871328e-81,0.9195402298850575
4347,66508.0,2.8112527848614727e-81,2.8112527848614727e-81,2.8112527848614727e-81,1.0
4348,66509.0,4.4980044557783565e-81,0.16666666666666666,4.4980044557783565e-81,0.8333333333333334
4349,66510.0,6.747006683667535e-82,0.125,6.747006683667535e-82,0.875
4350,66511.0,1.0222737399496265e-81,0.1893939393939394,1.0222737399496265e-81,0.8106060606060606
4351,66512.0,5.729941981883257e-82,0.3630573248407643,5.729941981883257e-82,0.6369426751592356
4352,66513.0,0.5,2.698805372272386e-85,2.698805372272386e-85,0.5
